humidity,temperature,rainfall,wind_speed,disaster_type
78,31.02,156.55,11.56,flood
36,30.18,90.72,20.39,fire
99,37.81,162.16,10.71,flood
73,39.17,61.09,14.67,fire
40,34.21,158.44,18.13,fire
97,24.03,65.25,4.22,flood
30,31.66,60.28,23.39,flood
57,42.69,91.15,11.99,flood
68,22.05,180.55,9.44,flood
25,23.37,11.11,9.29,fire
38,41.44,43.46,22.79,fire
28,32.43,187.41,19.4,earthquake
60,35.48,146.93,18.64,earthquake
66,35.22,74.1,4.94,fire
74,26.48,154.82,1.12,flood
70,20.82,123.79,23.61,flood
93,25.94,70.57,16.07,flood
15,24.1,127.28,8.81,fire
65,33.31,52.41,8.54,flood
70,20.11,113.66,24.99,flood
90,38.75,116.09,22.28,flood
91,31.45,110.5,20.56,flood
50,31.16,154.69,26.55,earthquake
74,27.68,163.62,28.61,flood
78,31.91,137.99,22.49,flood
56,24.4,104.35,13.38,flood
83,28.95,72.51,3.23,fire
61,41.54,181.25,10.09,flood
50,21.44,54.28,8.11,flood
51,22.74,154.75,9.8,earthquake
53,26.51,148.63,28.59,fire
47,28.18,191.92,5.75,fire
29,37.34,158.11,8.85,flood
34,22.33,100.32,22.44,earthquake
25,41.33,146.32,20.16,fire
14,33.65,86.07,0.07,earthquake
72,29.26,193.85,10.74,flood
65,34.55,65.83,18.67,flood
62,25.76,102.17,24.77,flood
48,25.0,34.88,24.99,earthquake
75,26.97,12.92,20.02,flood
67,23.82,193.76,4.4,flood
37,32.47,64.84,24.51,earthquake
47,44.67,187.91,24.07,earthquake
53,33.56,160.98,23.84,flood
91,30.38,15.08,26.57,flood
21,39.02,40.33,4.89,fire
86,42.96,90.33,8.49,flood
32,31.09,104.88,14.68,fire
78,25.62,100.91,14.4,flood
32,37.87,18.28,25.04,flood
17,27.29,84.12,11.77,fire
19,27.98,80.31,27.23,earthquake
58,28.62,143.13,5.67,earthquake
85,38.8,14.55,26.48,fire
58,29.79,103.56,13.83,earthquake
49,26.06,81.08,20.14,fire
70,33.63,18.76,6.51,earthquake
94,25.51,124.7,3.09,flood
80,22.63,154.86,15.55,flood
72,22.81,51.7,7.45,flood
18,23.2,191.6,29.37,earthquake
41,30.91,41.51,3.86,fire
34,21.3,173.2,25.12,fire
76,23.9,122.23,19.17,flood
13,27.23,135.4,7.75,fire
98,32.8,51.61,15.29,fire
25,35.79,105.13,8.61,fire
35,27.94,69.29,15.6,flood
91,39.48,56.24,6.94,flood
44,37.65,131.19,19.25,fire
52,40.74,69.03,12.55,flood
93,25.17,76.62,10.28,earthquake
22,29.53,49.95,5.0,earthquake
94,25.44,98.88,19.68,flood
41,43.82,193.61,22.74,earthquake
25,35.2,182.65,0.91,fire
21,44.97,191.6,6.71,fire
39,42.39,157.66,16.24,flood
37,23.96,67.57,19.15,fire
85,31.59,128.15,15.26,flood
86,21.89,129.76,16.71,flood
98,23.14,169.31,22.48,flood
16,43.18,196.57,18.52,fire
11,26.21,124.71,10.44,fire
94,31.6,70.19,27.83,fire
43,22.13,150.43,22.58,fire
71,30.46,132.85,25.96,flood
78,34.86,183.46,3.08,flood
98,31.02,124.95,15.18,flood
73,38.59,134.71,15.84,flood
34,25.31,108.34,14.38,flood
30,41.98,110.25,5.19,fire
55,32.19,141.04,27.13,earthquake
16,43.86,178.35,6.02,fire
54,24.71,150.45,10.76,fire
70,44.85,180.09,9.22,flood
95,24.44,2.27,20.16,earthquake
40,42.93,181.23,13.77,fire
83,34.47,124.37,7.13,flood
58,39.62,110.23,20.33,earthquake
41,31.44,148.12,9.63,earthquake
86,43.09,186.32,27.05,flood
53,32.52,144.43,19.31,earthquake
14,39.1,39.61,3.42,fire
62,38.11,150.12,0.22,flood
59,39.45,104.52,2.73,flood
40,30.32,182.31,17.29,earthquake
19,33.84,80.71,20.72,earthquake
72,28.17,122.55,17.39,flood
56,29.02,141.43,6.85,earthquake
73,44.33,25.26,4.86,fire
71,25.41,198.58,15.12,flood
56,40.36,154.41,0.27,fire
18,35.66,183.48,1.23,flood
49,22.68,173.18,13.87,earthquake
15,24.6,89.43,29.44,flood
40,39.34,83.1,3.66,earthquake
24,41.83,46.94,2.86,fire
79,44.89,155.06,23.44,flood
61,28.27,119.76,0.34,flood
40,41.94,73.89,2.93,fire
53,27.63,49.17,21.17,fire
37,31.48,85.84,25.05,earthquake
93,34.54,52.44,29.47,earthquake
35,43.48,152.56,9.6,flood
94,32.18,47.31,10.37,flood
21,34.13,47.67,20.11,fire
31,42.22,97.55,2.69,earthquake
78,28.57,30.9,18.23,fire
65,42.84,141.19,23.44,flood
96,38.04,91.9,25.46,flood
91,38.91,2.76,5.31,earthquake
93,32.81,64.58,1.69,flood
66,37.9,182.37,22.72,flood
71,31.8,59.11,23.57,flood
