population_density,severity_index,infrastructure_score,risk_score
329,5.36,7.51,medium
466,6.36,2.54,medium
207,8.11,4.71,medium
619,8.4,8.75,medium
500,8.39,1.49,medium
495,6.05,4.58,medium
692,9.01,1.85,medium
70,5.89,9.11,medium
290,9.99,5.64,medium
687,5.46,6.55,medium
119,5.13,6.01,medium
562,4.88,8.53,medium
472,5.25,7.76,medium
314,5.87,5.65,medium
251,6.37,9.99,medium
136,2.12,2.21,low
589,2.0,7.06,low
245,2.02,2.64,low
676,2.97,3.08,low
630,5.13,4.91,medium
120,6.48,1.02,medium
974,1.4,1.73,low
402,3.3,1.81,low
169,4.02,8.54,medium
910,7.27,7.36,high
876,5.55,1.25,medium
245,5.07,4.51,medium
452,7.1,6.84,medium
595,5.04,9.64,medium
843,2.63,5.13,low
285,1.88,8.78,low
795,6.42,8.01,medium
234,9.54,2.28,medium
506,2.68,7.36,low
907,9.78,1.32,high
342,9.49,7.56,medium
122,4.91,2.38,medium
458,7.33,1.62,medium
549,4.02,9.41,medium
734,7.96,2.71,high
928,7.35,6.05,high
116,4.07,8.72,medium
823,7.9,9.81,high
279,8.56,7.69,medium
581,1.88,9.11,low
586,9.78,4.68,medium
621,2.48,6.59,low
951,5.15,3.25,medium
794,7.74,7.67,high
842,1.92,7.16,low
107,8.04,2.33,medium
389,3.24,5.3,low
954,8.74,3.23,high
562,2.89,6.25,low
556,2.84,4.78,low
167,7.49,3.41,medium
400,9.45,3.09,medium
908,9.4,9.42,high
119,2.22,1.44,low
208,2.18,9.29,low
765,3.82,7.02,low
899,6.26,9.31,medium
956,2.07,8.26,low
312,5.17,6.14,medium
853,9.18,3.29,high
950,8.17,8.62,high
85,7.72,2.34,medium
978,4.59,4.44,medium
127,6.3,2.06,medium
79,5.21,1.29,medium
73,1.47,8.83,low
110,2.58,5.5,low
181,9.49,9.98,medium
389,8.98,5.56,medium
748,4.42,4.98,medium
919,5.08,4.35,medium
584,3.03,2.75,low
632,3.98,2.61,low
831,7.21,3.53,high
758,5.05,2.4,medium
809,7.56,1.42,high
920,7.89,7.68,high
767,7.27,9.44,high
101,9.16,6.78,medium
749,5.58,2.94,medium
202,3.0,8.25,low
802,2.06,6.87,low
641,1.47,5.37,low
224,6.83,8.93,medium
931,5.35,9.61,medium
905,2.62,2.99,low
683,8.51,9.14,medium
749,4.97,2.2,medium
627,5.32,5.89,medium
934,6.71,2.78,medium
340,9.46,2.21,medium
215,4.89,1.36,medium
922,8.51,2.36,high
515,7.88,8.8,medium
448,8.36,2.52,medium
445,1.54,6.02,low
145,9.33,8.25,medium
851,4.41,4.71,medium
861,1.44,7.64,low
830,2.2,3.8,low
195,5.33,6.86,medium
692,7.17,6.93,medium
841,2.37,5.36,low
333,9.5,1.17,medium
248,1.9,2.8,low
178,7.76,7.93,medium
246,1.78,6.63,low
862,5.73,7.48,medium
987,3.28,1.36,low
342,1.89,4.91,low
667,9.23,4.55,medium
248,9.47,3.73,medium
304,3.82,5.78,low
749,5.28,7.85,medium
292,8.04,5.67,medium
739,3.28,8.81,low
814,1.3,9.76,low
920,7.26,1.82,high
774,3.75,9.08,low
958,8.31,4.06,high
377,8.51,8.26,medium
956,5.0,3.05,medium
480,5.47,7.1,medium
402,8.47,6.67,medium
950,1.2,5.36,low
842,9.21,3.09,high
60,6.86,2.14,medium
867,3.24,5.12,low
835,1.29,3.82,low
749,6.28,2.77,medium
267,1.8,4.57,low
671,6.69,4.57,medium
433,9.16,9.94,medium
161,8.74,4.55,medium
93,4.06,4.3,medium
439,5.75,8.45,medium
939,5.95,9.38,medium
856,5.15,2.1,medium
853,7.08,3.02,high
916,6.86,9.32,medium
957,4.62,7.63,medium
283,1.48,8.84,low
563,2.39,9.55,low
436,7.77,2.83,medium
325,5.37,7.16,medium
736,3.97,6.14,low
138,1.51,6.04,low
